날짜,사건,추가 정보,기간
1627,정묘호란,"1627년(인조 5) 만주에 본거를 둔 후금(後金:淸)의 침입으로 일어난 조선과 후금 사이의 싸움이다. 후금은 명을 침공하기에 앞서 조선을 정복하여 후환을 없애려는 의도로 아민을 대장으로 하여 3만의 병력으로 압록강을 건너 조선을 침공하여 왔고, 조선은 후금에 형제국의 예를 갖추기로 하고 5개 조항에 합의하여 화의하였다.",0
1631,"명,이자성의 난","숭정 17년(1644년) 4월 25일(음력 3월 19일), 이자성이 베이징(北京)을 점령하자, 명나라 마지막 황제 숭정제는 신무문으로 나와 경산 동쪽 비탈 홰나무(槐树) 밑에서 목을 매어 자살하였다. 당시 33세였다. 그의 죽음과 동시에 명나라는 사실상 멸망했다.",1631 ~ 1645
1636/12,병자호란,"명(明)을 무너뜨린 후금은 나라이름을 청(淸)으로 바꾸고, 1636년 후금이 보낸 국서를 거절하는 등 그 동안 눈에 거슬리던 조선을 침략하였다. 12만 청군이 쳐들어와 인조는 남한산성에서 청군에게 포위되고, 왕족들의 피난지 강화도마저 함락되어 결국 항복하고 말았다.",0
1637,데카르트《방법서설》,"근대 철학의 아버지 데카르트. 1637년부터 테카르트는 존재론과 인식론 문제에 몰두한 것으로 보이는데, 이 해에 《방법서설》을 출판했다. 존재론과 인식론에 관한 연구 결과는 1641년 《제1 철학에 관한 성찰》(Meditationes: 후에 Meditationes de prima philosophia)이란 제목의 책으로 출판하게 된다.",0
1639,"일본,쇄국령","17~19세기 일본 열도를 지배한 도쿠가와 막부(德川 幕府)는 전국시대와 임진왜란, 여러 차례의 내전 이후 간신히 찾아온 안정을 지키기 위해, 사회 질서를 흔들 수 있는 모든 요소를 제거하려 했다. 인구 증가를 막기 위해 일정 수 이상으로 태어난 아기를 죽이는 마비키(間引き) 풍습이나, 일본의 남녀 모두를 사찰에 등록시킴으로써 기독교도를 색출해내려 한 정책 역시 이러한 이유에서 비롯되었다. 도쿠가와 막부는 기독교를 포교하지 않겠다고 약속한 네덜란드와만 경제적 관계를 맺는 한편, 유럽 국가들의 기독교 포교가 진행 중인 동남아시아에서 자국민을 철수시키고 자국 내의 기독교도들을 학살·추방했다.",0
1640,중국 대기근,"대기근의 절정은 1640년에서 1642년이었다. 3년 동안의 대기근은 역대의 어떤 기근보다 극심했다. 화북지역을 중심으로 전개되었던 가뭄, 메뚜기의 습격, 전염병이 양자강 이남의 광대한 남부지역까지 확대되면서 대기근은 전 중국적인 상황이 되었다.",1640 ~ 1642/12
1642/08/22,잉글랜드 내전,"잉글랜드 내전(English Civil War, 1642년 ~ 1651년) 또는 청교도 혁명은 잉글랜드 왕국의 왕당파와 의회파 간에 있었던 내전이다. 1642년에서 1646년까지 있었던 첫 번째 내전과 1648년에서 1649년까지 있었던 두 번째 내전은 찰스 1세의 지지자들과 의회파 간의 내전이었고, 1649년에서 1651년까지 있었던 세 번째 내전은 찰스 2세의 왕당파와 의회파 간의 내전이었다. 1651년 9월 3일에 우스터 전투로 내전은 의회파의 승리로 끝났다.",1642/08/22 ~ 1651/09/03
1644,"명 멸망,청이 중국 지배","명 멸망, 청이 중국 지배.",0
1648/10/24,베스트팔렌 조약,"30년전쟁(1618~1648)을 종식시키기 위해 1648년 10월 베스트팔렌의 오스나브뤼크에서 체결된 조약으로, 이와 더불어 신성로마제국이 사실상 붕괴하고 정교분리, 영토주권, 그리고 세력균형에 기반한 유럽의 근대적인 정치체계가 확립되었다.",0
1651,"크롬웰,항해조례","1651년 항해 조례는 올리버 크롬웰이 실권을 잡고 있던 잉글랜드 공화국의 의회에 의해 통과된 공화국 정부가 공포한 조례로 네덜란드 상인에 의한 중계 무역의 제거가 목적이었다. 영국-네덜란드 전쟁의 계기가 되기도 하였지만, 또한 영국 상업 혁명을 가져왔다.",0
1652,영국-네덜란드 전쟁(1),영국-네덜란드 전쟁(Anglo－Dutch Wars)은 17세기 후반에 있어서의 영국과 네덜란드 양국간의 3차에 걸친 전쟁과 18세기 말엽의 1차례 일어났던 전쟁이다.,1652 ~ 1654/04
1665,런던 대역병,런던 대역병(영어: Great Plague of London)은 1665년 ~ 1666년에 잉글랜드 왕국(오늘날의 영국)에서 발생한 최후의 흑사병(페스트) 대역병이다. 1347년 시작되어 1750년까지 계속된 제2차 페스트 범유행의 일부이다.,1665 ~ 1666/06
1670,경신 대기근,1670년(현종 11년)과 1671년에 일어난 대기근. 제주도에서 함경도까지 전국에 걸쳐 무려 100만명의 사상자를 낸 ‘경신 대기근’이다.,1670 ~ 1671
1687/07/05,"뉴턴, 만유인력 발표",뉴턴이 천문학자 에드먼드 핼리의 출판비용지원으로 1687년 7월 5일에 출판한 《자연철학의 수학적 원리》(Philosophiae Naturalis Principia Mathematica)는 유명한 만유인력의 법칙을 설명할 뿐만이 아니라 뉴턴의 운동법칙을 통해 고전 역학을 완성한 근대 과학의 명저로 꼽힌다. 또 고트프리트 라이프니츠와 함께 미적분학의 창설에 큰 영향을 끼쳤다.,0
1688,"영국,명예혁명",명예혁명(名譽革命)은 영국에서 1688년에 일어난 혁명이다. 의회와 네덜란드의 오랜지공 윌리엄이 연합하여 제임스 2세를 퇴위시키고 오랜지공 윌리엄이 잉글렌드의 윌리엄 3세로 즉위하였다.,0
1689/08/27,네르친스크 조약,"네르친스크 조약은 시베리아의 네르친스크(尼布楚, 니포초)에서 청(淸)과 러시아 제국 사이에 체결된 조약이다. 이 결과 청은 종래까지는 그들의 세력이 미치지 못했던 헤이룽강 북안까지도 19세기 중엽까지 확보하게 되었고, 러시아는 베이징 무역을 지속하게 되었다. 이 조약의 체결로 북만주의 경계는 확정했지만, 서쪽 끝인 몽골과 시베리아의 경계는 확정되지 않았다. 이 문제를 해결하기 위해 양국은 1727년 캬흐타에서 또 한번의 조약을 체결했다.",0
1695,을병 대기근,"숙종 21년~25년(1695~1699)년에 일어난 대기근. 을병기근이라 이름붙인 대재난 이후 조선 국가 정책 방향은 새롭게 전환된다. 재난이 주기적으로 반복되면서 사회 전반의 각종 조직, 기구는 제대로 기능할 수 없었다. 이런 상황에서 지배층은 종전과 같은 방식으로 그들의 이해관계를 고집할 형편도 아니었다. 국왕, 집권층의 각종 이해득실에 따라 보류, 연기되고 있던 각종 개혁정책들이 이 시기에 와서 집중적으로 제기 논의되었다. 대재난에 직면하여 국가가 제시한 각종 정책과 그 방향은 전후 사회를 근본적으로 다르게 변화시킨 계기로 작용하였다.",1695 ~ 1699
1700,대북방 전쟁,"이 전쟁의 결과로 러시아는 발트해를 장악했고, 스웨덴은 30년 전쟁 이래 17세기 후반에 누렸던 북유럽 패자의 지위를 다시는 회복하지 못했다.",1700 ~ 1721
1701,스페인 왕위 계승 전쟁,"1701년부터 1714년까지 에스파냐 왕위 계승권을 둘러싸고 일어난 국제 전쟁. 프랑스 왕 루이 14세의 손자인 필리프가 에스파냐 국왕에 즉위하게 되자, 이에 반대하는 오스트리아·영국·네덜란드가 동맹하여 프랑스·에스파냐와 싸웠는데, 1713년의 위트레흐트 조약과 그 이듬해 라슈타트 조약으로 종결되었다.",1701 ~ 1714
1701/01/18,프로이센 왕국 성립,"프로이센 왕국 혹은 쾨니히라이히 프로이센은 호엔촐레른 가가 지배했던 독일 북부 지역에 위치한 왕국으로, 1701년 1월 18일부터 1918년 11월 9일까지 존재했다. 이 왕국은 1701년에 성립해 1918년까지 존속했던 독일 제국의 중심적 역할을 한 국가였다.",0
1735,"린네,생물의 분류체계 정립","1735년 발표한 《자연의 체계》에서 처음으로 식물과 동물을 체계 있게 분류하였는데, 이것은 동물과 식물을 닮은 것과 다른 것으로 나누어 정리한 것이다. 독일의 생물학자인 에른스트 헤켈(ernst haeckel)에 의하면 인류의 기원에 대한 질문을 던진 사람은 린네라고 한다. 린네는 사람을 분류학의 범주에 넣은 최초의 사람으로써, 인류의 역사를 다른 식물이나 동물과 같이 묘사함으로써 미래의 자연학 연구에 도움을 주었다.",0
1738,"나디르 샤,무굴제국의 델리 약탈",1739년 페르시아의 나디르 샤의 델리 침공으로 무굴 제국은 빈껍데기만 남은상태로 사실상 멸망하였다.,1738 ~ 1740
1740/12/16,오스트리아 왕위 계승 전쟁,오스트리아 왕위 계승 전쟁(1740-1748)은 거의 모든 유럽의 강대국이 얽힌 전쟁이다(폴란드-리투아니아 연방과 오스만 제국 제외). 이 전쟁은 여자의 왕위 계승을 금지하는 살리카 법(Salic law)에 따라 오스트리아의 마리아 테레지아(Maria Theresa of Austria)가 합스부르크 왕가를 계승하는 것은 부당하다는 구실을 내세우며 각국이 개입함으로써 시작되었다.,1740/12/16 ~ 1748/10/18
1744,네덜란드의 금융적 팽창 국면 전환,브로델(Braudel)에 의하면 1744년은 네덜란드 중심의 자본주의 세계경제의 실물적 팽창 국면이 금융적 팽창 국면으로 전환한 시점으로 선택한 해이다.,0
1751/09,"영조, 균역법 공포","균역법 (均役法) 은 조선 후기 군역을 대신하는 군포를 2필에서 1필로 줄인 군역세법 개혁이다. 호당 군포를 부과한 것이 아니라, 토지 1결당 군포를 부과하여 지주들의 납세를 촉진시키려 하였다.",0
1756/08,7년 전쟁,"영국, 프로이센 동맹과 오스트리아, 프랑스 동맹 사이의 전쟁으로 1756년 8월 시작되었다. 1763년 프랑스와 영국간에 파리조약이 체결되었고, 전쟁의 결과 영국은 세계 해상왕국으로서, 식민지제국으로서의 지위를 확립하였다.",1756/08 ~ 1763/02/10
1757/06/23,플라시 전투,벵골의 마지막 독립적 나와브(지방영주)였던 시라지우드 다울라(Sirajiud Daula)와 영국 동인도회사 사이에 벌어진 전투. 영국은 이 전투의 승리로 벵골의 모든 주들을 인수하고 대대적 약탈을 벌였다. 플라시 전투는 인도에서 영국 제국 수립의 결정적 계기가 되었다.,0
1759,"청, 신장지역 점령",1755년 몽골을 완전히 정복한 청 제국이 이 지역을 침략하였다. 위구르인들은 이에 저항하였으나 1759년 이 지역은 청의 군사적 지배하에 들어갔다.,0
1760,영국에서 산업혁명 시작(?),"산업 혁명(産業革命)은 18세기 중반부터 19세기 초반까지 영국에서 시작된 기술의 혁신과 이로 인해 일어난 사회, 경제 등의 큰 변혁을 일컫는다. 산업 혁명은 후에 전 세계로 확산되어 세계를 크게 바꾸어 놓게 된다. 산업 혁명이란 용어는 아놀드 토인비가 《Lectures on the Industrial Revolution of the Eighteenth Century in England》에서 처음으로 사용했다.",0
1775/04/19,미국 독립 전쟁,"미국 독립 전쟁(American War of Independence, 1775년 ~ 1783년) 또는 미국 혁명 전쟁(American Revolutionary War)은 그레이트브리튼 왕국의 북아메리카 식민지 중에서 동부 해안 13개주가 영국의 조세정책 등에 반발하여 식민지 독립을 위해 일으킨 전쟁이다. 미국은 1776년에 13주가 있는 상태애서 건국했다고 보며, 이 전쟁은 프랑스 혁명에 간접적인 영향을 주었다고 본다.",1775/04/19 ~ 1783
1776,와트의 증기기관,"제임스 와트(James Watt, 1736년 1월 19일 ~ 1819년 8월 25일)는 스코틀랜드의 발명가이자 기계공학자였다. 그는 영국과 세계의 산업 혁명에 중대한 역할을 했던 증기 기관을 개량하는 데 공헌하였다. 흔히 증기 기관을 발명했다 알려졌지만, 실제로는 기존의 이미 존재하는 증기기관에 응축기를 부착하여 효율을 높인 것이다.",0
1776/03/09,애덤 스미스《국부론》,애덤 스미스가 1776년에 발표한 경제학 서적이다. 국부론의 원래 제목은 《모든 국민의 부의 성질 및 원인에 관한 연구 (An Inquiry into the Nature and Causes of the Wealth of Nations)》이다. 제목에서 알 수 있듯이 스미스는 국부론에서 ‘부의 원천’을 밝혀내는 데 역점을 두었다.,0
1780/12/20,영국-네덜란드 전쟁(4),제4차 영국-네덜란드 전쟁은 영국이 1780년 12월 20일에 네덜란드에 전쟁을 선포하고 1781년에 네덜란드 해안을 봉쇄한 뒤 서인도 제도와 동인도 제도를 점령해 영국에게 유리하게 되었다. 1781년 8월에 네덜란드는 마지막으로 도거뱅크 해전에서 승리했으나 그 후 함대를 조직하지 못해 1784년 5월에 네덜란드의 항복으로 종결되었다. 이 4차례 전쟁으로 네덜란드의 위신은 떨어지고 세계 강대국 지위를 상실했다. 영국이 해양강국으로 부상했다.,1780/12/20 ~ 1784/05
1782,덴메이 대기근,"덴메이 대기근(일본어: 天明の大飢饉, 1782년 ~ 1788년)은 일본 에도시대 덴메이 연간에 일어난 기근 사태로, 에도 4대 기근 중의 하나이며, 일본 근세사상 최대의 기근이다.",1782 ~ 1788
1789,혁명의 시대,에릭 홉스봄이 말하는 '혁명의 시대'.,1789 ~ 1848
1789/07/14,프랑스 혁명,"프랑스 혁명(1789년 7월 14일~1794년 7월 27일)은 프랑스에서 일어난 자유주의 혁명이다. 프랑스 혁명은 엄밀히 말해 1830년 7월 혁명과 1848년 2월 혁명을 함께 일컫는 말이지만, 대개는 1789년의 혁명만을 가리킨다. 이때 1789년의 혁명을 다른 두 혁명과 비교하여 프랑스 대혁명이라고 부르기도 한다.",0
1794,"페르시아,카자르 왕조","카자르 왕조(Qajar dynasty, 1794년 ~ 1925년)는 투르크계 카자르 족의 아가 모하마드가 잔드 왕조의 카림 칸이 죽은 후 독립하여 창건한 왕조이다. 테헤란에 수도를 두었다.",0
1794/05/08,"라부아지에,근대 화학의 아버지","앙투안로랑 드 라부아지에(프랑스어: Antoine-Laurent de Lavoisier, 1743년 8월 26일 ~ 1794년 5월 8일)는 프랑스의 화학자이다. 근대 화학의 아버지라 불린다.",0
1796,"제너, 종두법 개발",종두(種痘)는 천연두를 예방할 목적으로 백신을 인체의 피부에 접종하는 일을 가리킨다. 흔히 종두는 1796년에 에드워드 제너가 발견한 우두 바이러스를 이용한 인공 면역법을 가리킨다.,0
1796/09/10,"정조, 수원 화성 완성",조선 후기 정조 때인 1794년 착공하여 1796년 9월 10일에 준공되었다. 기존에 화강암으로 쌓았던 방식을 버리고 벽돌로 쌓는 축성 공사에는 정약용이 고안한 거중기가 사용되었다.,0
1796,백련교도의 난,백련교도의 난(白蓮敎徒－亂)은 청의 가경기(嘉慶期)에 일어난 대반란(1796 ~ 1806)이다.,1796 ~ 1806
1803/05/18,나폴레옹 전쟁,나폴레옹 전쟁(The Napoleonic Wars)은 1803년부터 1815년까지 변화한 유럽의 동맹과 대립한 연합을 상대로 나폴레옹의 프랑스 제국이 벌인 일련의 분쟁을 포함한 전쟁을 말한다.,1803/05/18 ~ 1815/11/20
1804/05/18,프랑스 황제 나폴레옹,"나폴레옹 보나파르트(프랑스어: Napoléon Bonaparte, 코르시카어: Nabulione di Buonaparte, 1769년 8월 15일 ~ 1821년 5월 5일)는 프랑스의 군인이자, 정치가이며, 프랑스 대혁명 시기 말기 무렵의 정치 지도자이자 1804년부터 1815년까지 프랑스의 황제였다. 나폴레옹 법전은 세계의 민법 관할에 크나큰 영향을 미쳤지만, 나폴레옹은 나폴레옹 전쟁에서의 역할로 가장 잘 알려져 있다. 그는 유럽 전체에 헤게모니를 형성했고, 프랑스 대혁명의 이상을 퍼트렸으며, 이전 정권의 양상을 복원하는 제국 군주제를 통합했다. 그가 전쟁마다 승리를 거두었기 때문에 지금까지 가장 위대했던 장군들 중 하나로 기억되고 있다.",0
1805/10/21,"영국,트라팔가르 해전 승리","트라팔가르 해전(Battle of Trafalgar)는 나폴레옹 전쟁기간 중 1805년 10월 21일에 프랑스-스페인 연합함대을 상대로 영국해군이 결정적인 승리를 거둔 해전을 말한다. 스페인 남서쪽 트라팔가르곶에서 영국의 왕립해군 27척이 프랑스, 스페인 연합함대 33척을 기습하였다. 그 결과 프랑스-스페인 연함함대는 22척을 잃었지만, 영국은 1척도 잃치 않았다. 이 해전은 19세기 중요한 전투 중 하나로 제3차 대프랑스 동맹때 벌어졌다. 영국의 극적인 승리로 18세기부터 이어져온 영국의 제해권을 확고하게 만들었다. 그렇지만 이 전투 후 나폴레옹은 영국에 대한 침공을 단념하고, 대신 영국의 동맹국 독일을 공격하게 되었다.",0
1806/08/06,신성로마제국 해체,30년 전쟁에 패배하여 베스트팔렌 조약으로 많은 영토를 잃었다. 나중에는 프랑스의 공격을 받아 제국을 유지하기 어려워진 프란츠 2세가 결국 제국 해체를 선언하였다.,0
1806/11/21,"나폴레옹,대륙봉쇄령","대륙봉쇄령(大陸封鎖令, 영어:Continental System, Continental Blockade)은 프랑스 제국과 그 동맹국의 지배자였던 나폴레옹 1세가 당시 산업혁명이 진행 중인 영국을 봉쇄한 뒤 프랑스와 통상(通商)을 맺게하여 유럽대륙의 경제를 지배하기 위해 내놓은 경제봉쇄명령이다. 1806년 11월 21일 베를린에서 발령했기에 베를린 칙령이라고도 하는데, 결과적으로 프랑스 국민과 프랑스의 동맹국과의 마찰을 야기했고, 더해서 나폴레옹에 대한 적개심을 강화하는 결과를 낳았다.",0
1812/01/31,홍경래의 난,1811년 평안도에서 홍경래를 중심으로 기존 체제에 불만을 품은 농민과 몰락 양반들이 봉기하였다. 봉기군은 농민들의 호응으로 청천강에서 의주까지 10개 지역을 손에 넣었으나 정부군과의 격전으로 4개월 만에 진압되고 전체 3천 명 중 2천 명이 즉시 사살되었다.,1812/01/31 ~ 1812/05/29
1814/04/06,나폴레옹 퇴위,나폴레옹 보나파르트가 결국 퇴위하고 루이 18세가 왕위에 오름. 나폴레옹은 엘바 섬으로 유배.,0
1814/11,빈 회의,1814년 11월∼1815년 6월에 프랑스혁명과 나폴레옹전쟁에 대한 사후수습을 위하여 빈에서 개최한 유럽 여러 나라의 국제회의.,1814/11 ~ 1815/06
1815/04/10,탐보라 화산 폭발,19세기에서 가장 강력한 화산 폭발이었다. 이것으로 1816년이 유럽과 북아메리카의 동부에서 '여름이 없던 해'로 알려져 있다.,0
1815/06/18,워털루 전투,1815년 나폴레옹이 엘바섬을 탈출하여 재기를 꾀하였으나 워털루싸움에서 영국의 웰링턴 장군에게 패하여 세인트의 헬레나섬에 유배된다.,0
1815/09/26,신성 동맹,"신성 동맹(독일어: Heilige Allianz)은 1815년 9월 26일, 프랑스 파리 시에서 러시아와 오스트리아, 프로이센 간에 체결된 동맹이다. 영국에도 제안되었지만, 영국은 자신들의 전통 외교 정책을 고수하며 참가를 거부했다.",0
1816,"영국,금본위제 채택",금본위제는 영국에서 이미 18세기에 사실상 시행되고 있었다. 그러나 공식적으로 영국이 금본위제를 채택한 것은 1816년이었다.,0
1816,세계 기근,탐보라 화산 폭발 등의 이유로 생각되는 기후 변동으로 세계적인 기근 발생.,1816 ~ 1816/12/31
1817/01/01,1차 콜레라 범유행,"1차 콜레라 범유행(영어: The first cholera pandemic)은 아시아 콜레라 혹은 아시아 콜레라 대유행으로도 불린다. 1817년부터 1824년까지 창궐하였다. 범유행은 인도 콜카타 시에서 시작되어 동남아시아 전역, 중동, 동 아프리카와 지중해 연안까지 퍼졌다.",1817/01/01 ~ 1824/12/31
1823/12/02,먼로주의,"미국 대통령 제임스 먼로는 1823년에 의회 일반교서 연설에서 처음으로 먼로주의를 밝혔다. 유럽 열강으로 하여금 더 이상 미 대륙을 식민지화 하거나 미국이나 멕시코 등 미 대륙에 있는 주권 국가에 대한 간섭을 거부하는 내용을 담고 있다. 그 대신 미국은 유럽 열강간의 전쟁에 대해 중립을 표명하기로 했다. 하지만 만약 전쟁이 아메리카 대륙에서 일어날 경우, 미국은 그러한 행위를 미국에 대한 위협으로 간주하기로 했다.",0
1825/01/18,"스티븐슨,증기기관차 운전",1825년 스티븐슨은 그의 공장에서 제작한 개량형 기관차 로커모션호를 달리게 함으로써 철도수송의 시대가 개막되었다. 이는 증기기관을 동력으로 한 최초의 기관차였다.,0
1830/07,"프랑스,7월혁명","혁명파 지도자 라파예트를 중심으로 오를레앙공 루이 필리프는 7월왕정을 성립하였다. 7월혁명의 새 헌법은 국왕의 권한 약화와 의회 권력을 강화하기는 했으나, 대부르주아지에 기초를 둔 정권이 성립되었다.",0
1834,"영국,신빈민법 제정",기왕의 빈민법이 지녔던 공적 부조의 성격을 제거함으로써 노동의 가격이 노동시장의 수요와 공급에 의해 결정될 수 있도록 만든 자유주의적 제도개혁이었다.,0
1839/11/03,제1차 아편전쟁,"제1차 아편전쟁(第一次鴉片戰爭)은 청나라의 아편 단속을 빌미로 한 영국의 침략전쟁이다. 항각 상인이 클리퍼를 타고 광둥 연안에서 무장한 채, 아편을 공개적으로 판매함으로 인하여 발발한 전쟁이다. 전쟁의 직접적인 도화선은 1839년 청나라 흠차대신 임칙서가 도광제(재위 1820~50년)의 교지를 받들어, 광둥 동관에서 아편을 몰수한 것에서 비롯한다.",1839/11/03 ~ 1842/08/29
1842/08/29,난징 조약,"난징 조약(南京條約)은 제1차 아편 전쟁을 끝내기 위해 1842년 8월 29일 청나라 조정과 영국과의 사이에 맺은 불평등 조약이다. 이 조약으로 인해 홍콩 섬이 영국에 넘어갔고, 상하이가 개방된 계기가 되었다.",0
1844/07/19,"영국,필 은행법",1844년 은행 승인법은 잉글랜드 은행에게 독점적인 발권 권한을 부여하고 금보유고와 화폐 발행을 연동하는 금본위제를 실시하였다. 이로서 이전까지 각자의 은행권을 발행해오던 시중은행들은 발권 권한을 상실하였다.,0
1845,아일랜드 대기근,"아일랜드 대기근(Great Famine)은 1845년에서 1849년까지 영국의 아일랜드 섬에서 일어난 집단기근, 역병과 집단 해외이주의 시기를 일컫는다. 아일랜드 외부에서 이것은 보통 아일랜드 감자 기근으로 알려져있기도 하다.",1845 ~ 1849
1846/01/01,3차 콜레라 범유행,"3차 콜레라 전염병은 19세기 인도에서 시작한 콜레라의 세번째 주요 발병으로, 국경을 넘어서 여러 나라에 전파되었다. UCLA 연구자들은 3차 유행이 1837년에 시작해서 1863년까지 지속되었다고 연구했다. 러시아에서는 백만명이 넘는 사람들이 콜레라로 사망했다. 1853~54년에 런던에서 10,000명이 넘는 사람이 사망했으며, 영국 전역에서는 23,000명이 사망했다. 이 전염병은 19세기 전염병 중 가장 치명적인 전염병으로 인식된다.",1846/01/01 ~ 1860/12/31
1846/04/25,미국-멕시코 전쟁,"이 전쟁은 1836년 텍사스 혁명으로 텍사스 공화국이 성립되었지만, 멕시코는 이 땅을 자국의 영토로 여겼다. 그러나 1845년 텍사스 합병으로 텍사스가 미국의 주가 되자 전쟁이 일어나게 되었다.",1846/04/25 ~ 1848/02/02
1846/05/16,영국 곡물법 폐지,"1830년대와 1840년대에 자유시장을 위한 자유주의 십자군 운동은 일련의 법안 입법으로 귀결되었다. 핵심조치는 1834년의 신(新)구빈법으로, 이는 국내의 노동 공급을 시장의 가격 결정 기제에 종속시켰다. 1844년의 필 은행법은 국내 경제의 화폐 유통을 앞서보다 훨씬 더 엄격하게 금 본위제의 자기조정 기제에 종속시켰다. 그리고 1846년의 곡물법 폐지는 영국시장을 전세계의 곡물 공급에 개방하였다. 이 세 가지 조치가 영국에 중심을 둔 자기조정적 세계시장체계의 핵심을 형성하였다. 이것들은 하나의 일관성 있는 전체를 형성하였다.",0
1848/02/21,"마르크스,공산당선언","마르크스는 공산당선언에서 인간의 역사를 모순과 대립에 기초한 계급투쟁의 역사라 하고, 자본주의사회의 발전법칙을 분석한 다음 노동자계급이 권력을 잡아 스스로를 해방시켜야 한다고 주장하였다.",0
1848,자본의 시대,에릭 홉스봄이 말하는 '자본의 시대'.,1848 ~ 1875
1848/01/24,캘리포니아 골드러시,"가장 잘 알려져 있는 골드러시는 1848년 캘리포니아의 새크라멘토 강 근처에 있는 존 서터(Johann Sutter)의 제재소에서 발견되었다. 1848년 1월 24일 존 서터가 제재소를 건설하고 있는 동안 그의 목수인 제임스 마셜(JamesW.Marshall)이 우연히 금을 발견하였다. 서터와 마셜은 서로 동업자가 되기로 하며 그들이 금을 발견했다는 사실을 누설하지 않는 것에 동의한다. 그 당시 라디오도 텔레비전이 없던 시절이었기에, 캘리포니아에서 금이 발견됐다는 소식이 미국 동부에 전해지기까지는 상당한 시간이 소요되었다. 그러나 얼마지나지 않아 캘리포니아에서 많은 양의 금이 발견됬다는 소식을 접한 수천명의 사람들이 일확천금을 좇아 제재소로 몰려들었다. 그리하여 본격적인 골드러시는 1849년에 시작되었다. 그 해 약 80,000명의 포티나이너스 들이 캘리포니아의 금광지대에 몰려들었고,1853년에는 그 수가 250,000명에 달했다.",1848/01/24 ~ 1855
1848/02/23,1848년 혁명,"1848년 혁명은 프랑스 2월 혁명을 비롯하여 빈 체제에 대한 자유주의와 전유럽적인 반항운동을 모두 일컫는 표현이다. 민족의 봄, 민중의 봄, 국민들의 봄(the Spring of Nations, People’s Spring, Springtime of the Peoples) 등으로 불린다. 사회주의자 – 아니 그보다는 공산주의자라 함이 타당할 듯한데 – 가 전면에 나선, 인류 역사상 세계 혁명에 가장 근접했지만 실패한 혁명이다.",1848/02/23 ~ 1849
1851,"청,태평천국의 난","태평천국(太平天国 / 太平天國, 1851년~1864년)은 중국 청나라 말기에 홍수전(洪秀全)이 세운 기독교 신정(神政) 국가이다. 중국 역사에서는 이들이 일으킨 난을 태평천국의 난이라고 불렀다.",1851 ~ 1864/07
1853/10,크림 전쟁,"러시아의 남하를 견제하던 영국과 프랑스는 1854년 러시아에 선전포고를 하고 크림반도에서 전쟁을 하였다. 러시아의 패배로 1856년 파리조약을 체결, 흑해의 중립화와 각국 군함의 해협 통행금지를 규정함으로써 러시아의 남진정책은 또다시 좌절되었다.",1853/10 ~ 1856/03/30
1854/03/31,미일화친조약-일본 개항,"미일 화친 조약(美日和親條約, Convention of Kanagawa/Kanagawa Treaty, 일본어: 日米和親条約/神奈川条約)은 1854년 3월 31일에 체결된 미국과 일본의 조약으로서 미 해군의 매슈 페리와 일본의 천황 사이에 체결된 조약이다.",0
1856/10/08,제2차 아편전쟁,"제2차 아편 전쟁, 일명 애로호 전쟁은 제1차 아편 전쟁 이후 청나라의 개방이 기대에 못 미치자 영국이 1856년에 아일랜드, 프랑스와 함께 청나라를 공격하여 일어난 전쟁이다.",1856/10/08 ~ 1860/10/24
1857/05/10,"인도,세포이항쟁","세포이항쟁은 인도의 첫 민족운동이 1857년부터 1859년까지 진행되었다. 영국 동인도회사의 인도인 용병 세포이들이 가혹한 식민지 경영에 반대, 전국적으로 봉기한 사건이다.",1857/05/10 ~ 1859/07/08
1858/09/08,"영국,인도를 식민지로","인도 무굴제국 영국에게 멸망, 영국의 직접 통치 시작.",0
1859/11/24,"다윈,《종의 기원》","《종의 기원에 대하여》(On the Origin of Species)는 1859년에 출판되어, 생물진화론의 새 장을 연 찰스 다윈의 책이다.",0
1860/10/24,베이징 조약,"베이징 조약(북경조약)은 아편 전쟁의 결과로, 1860년 10월 18일에 청나라가 영국, 프랑스, 러시아와 체결한 조약이다. 이 조약은 6개의 항목으로 되어 있으며, 이 조약에 따라 청나라는 영국에 주룽(현재의 홍콩 중심부)을 내주었고, 러시아에는 연해주를 넘겨주었다.",0
1861,"청,양무운동","양무 운동(洋務運動)은 19세기 후반, 청나라 말기에 관료들의 주도로 이루어졌던 군사중심의 근대화운동을 말한다. 유럽 근대기술의 도입으로 봉건체제를 유지,보강하려 했던 청조의 자강운동이다. 자강 운동(自強運動)이라고도 불린다. 양무(洋務)는 청나라와 서양 여러나라와의 관계, 교류 등을 일컫는 말이다.",0
1861/04/12,"미국,남북 전쟁","남북 전쟁 (南北戰爭, American Civil War, 줄여서 Civil War)은 미국에서 일어난 내전이다. 1861년 4월, 노예제를 지지하던 남부주들이 모여 남부연합을 형성하며 미합중국으로부터의 분리를 선언한 뒤, 남부동맹군(이하 '남군')이 사우스캐롤라이나 주 찰스턴 항의 섬터 요새를 포격하는 것으로 시작되어 1865년까지 4년 동안 벌어진 전쟁이다. 전쟁 결과 남군이 패했고, 미국 전역에서 노예제가 폐지되는 중요한 계기가 되었다.",1861/04/12 ~ 1865/05/09
1863/12/13,고종 즉위,"고종 즉위, 흥선대원군 정권 장악.",0
